,index,component,part,timestamp,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,erroneous
0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0
1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0
2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0
3,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0
4,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-66.0,1.0,0.0
5,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-66.0,1.0,0.0
6,6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-66.0,1.0,0.0
7,7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-66.0,1.0,0.0
8,8,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
9,9,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
10,10,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
11,11,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
12,12,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
13,13,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
14,14,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
15,15,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
16,16,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
17,17,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
18,18,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
19,19,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
20,20,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
21,21,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
22,22,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
23,23,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
24,24,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
25,25,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
26,26,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
27,27,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
28,28,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
29,29,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
30,30,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
31,31,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
32,32,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
33,33,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
34,34,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
35,35,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
36,36,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
37,37,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
38,38,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
39,39,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
40,40,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
41,41,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
42,42,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
43,43,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
44,44,3.0,1.0,2.0,1.0,0.0,0.0,0.0,77.0,3.0,0.0
45,45,2.0,1.0,3.0,1.0,0.0,0.0,0.0,77.0,4.0,0.0
46,46,3.0,1.0,2.0,1.0,0.0,0.0,0.0,77.0,3.0,0.0
47,47,2.0,1.0,3.0,1.0,0.0,0.0,0.0,77.0,4.0,0.0
48,48,3.0,1.0,2.0,1.0,0.0,0.0,0.0,77.0,3.0,0.0
49,49,2.0,1.0,3.0,1.0,0.0,0.0,0.0,77.0,4.0,0.0
50,50,2.0,3.0,0.0,1.0,0.0,0.0,0.0,-25.0,5.0,0.0
51,51,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-25.0,5.0,0.0
52,52,0.0,1.0,2.0,1.0,0.0,0.0,0.0,102.0,6.0,0.1423421939223338
53,53,0.0,1.0,2.0,1.0,0.0,0.0,0.0,102.0,6.0,0.0
54,54,0.0,1.0,2.0,1.0,0.0,0.0,0.0,102.0,6.0,0.0
55,55,0.0,1.0,2.0,1.0,0.0,0.0,0.0,102.0,6.0,0.0
56,56,4.0,1.0,0.0,1.0,0.0,0.0,0.0,159.0,7.0,0.0
57,57,4.0,1.0,0.0,1.0,0.0,0.0,1.0,-2.0,0.0,0.0
58,58,4.0,1.0,3.0,1.0,0.0,0.0,1.0,8.0,8.0,0.0
59,59,4.0,1.0,0.0,1.0,0.0,0.0,0.0,-258.0,9.0,0.0
60,60,4.0,1.0,2.0,1.0,0.0,0.0,1.0,7.0,10.0,0.0
61,61,4.0,1.0,2.0,1.0,0.0,0.0,1.0,61.0,10.0,0.0
62,62,4.0,1.0,2.0,1.0,0.0,0.0,1.0,92.0,10.0,0.0
63,63,4.0,1.0,3.0,1.0,0.0,0.0,0.0,-37.0,11.0,0.0
64,64,4.0,1.0,2.0,1.0,0.0,0.0,1.0,-143.0,10.0,0.0
65,65,4.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,10.0,0.0
66,66,4.0,1.0,3.0,1.0,0.0,0.0,1.0,-255.0,11.0,0.0
67,67,4.0,1.0,2.0,0.0,0.0,0.0,0.0,57.0,12.0,0.0
68,68,5.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,13.0,0.0
69,69,0.0,1.0,2.0,1.0,0.0,0.0,0.0,102.0,6.0,0.0
70,70,0.0,1.0,2.0,1.0,0.0,0.0,0.0,102.0,6.0,0.0
71,71,0.0,1.0,2.0,1.0,0.0,0.0,0.0,102.0,6.0,0.0
72,72,0.0,1.0,2.0,1.0,0.0,0.0,0.0,102.0,6.0,0.0
73,73,0.0,1.0,2.0,1.0,0.0,0.0,0.0,102.0,6.0,0.0
74,74,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-21.0,14.0,0.0
75,75,2.0,1.0,4.0,1.0,0.0,0.0,0.0,-21.0,15.0,0.0
76,76,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-21.0,14.0,0.0
77,77,2.0,1.0,4.0,1.0,0.0,0.0,0.0,-21.0,15.0,0.0
78,78,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-21.0,14.0,0.0
79,79,2.0,1.0,4.0,1.0,0.0,0.0,0.0,-21.0,15.0,0.0
80,80,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-21.0,14.0,0.1530349338741466
81,81,2.0,1.0,4.0,1.0,0.0,0.0,0.0,-21.0,15.0,0.1530349338741466
82,82,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-21.0,14.0,0.1530349338741466
83,83,2.0,1.0,4.0,1.0,0.0,0.0,0.0,-21.0,15.0,0.1530349338741466
84,84,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-190.0,16.0,0.0
85,85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-194.0,0.0,0.0
86,86,5.0,1.0,5.0,1.0,0.0,0.0,1.0,-8.0,17.0,0.0
87,87,5.0,1.0,5.0,1.0,0.0,0.0,0.0,46.0,18.0,0.0
88,88,4.0,2.0,2.0,1.0,0.0,0.0,0.0,34.0,19.0,0.0
89,89,4.0,2.0,2.0,1.0,0.0,0.0,0.0,34.0,19.0,0.0
90,90,4.0,2.0,2.0,1.0,0.0,0.0,0.0,34.0,19.0,0.0
91,91,4.0,2.0,2.0,0.0,0.0,0.0,0.0,34.0,19.0,0.0
92,92,4.0,2.0,2.0,0.0,0.0,0.0,0.0,34.0,19.0,0.0
93,93,4.0,2.0,2.0,0.0,0.0,0.0,0.0,34.0,19.0,0.0
94,94,4.0,1.0,3.0,1.0,0.0,0.0,0.0,275.0,20.0,0.0
95,95,4.0,1.0,6.0,1.0,0.0,0.0,0.0,-12.0,21.0,0.0
96,96,4.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,16.0,0.0
97,97,6.0,1.0,0.0,1.0,0.0,0.0,0.0,280.0,17.0,0.0
98,98,6.0,1.0,0.0,1.0,0.0,0.0,0.0,280.0,17.0,0.0
99,99,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-31.0,22.0,0.0
100,100,0.0,1.0,6.0,1.0,0.0,0.0,0.0,6.0,23.0,0.0
101,101,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0
102,102,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,25.0,0.0
103,103,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,25.0,0.0
104,104,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,20.0,0.0
105,105,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,20.0,0.0
106,106,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,25.0,0.0
107,107,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,25.0,0.0
108,108,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,20.0,0.0
109,109,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,20.0,0.0
110,110,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,25.0,0.0
111,111,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,25.0,0.0
112,112,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,20.0,0.0
113,113,7.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,20.0,0.0
114,114,8.0,1.0,7.0,1.0,0.0,0.0,0.0,12.0,26.0,0.0
115,115,4.0,2.0,7.0,1.0,0.0,0.0,0.0,13.0,27.0,0.0
116,116,9.0,2.0,7.0,1.0,0.0,0.0,0.0,13.0,27.0,0.0
117,117,8.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,26.0,0.0
118,118,10.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,26.0,0.0
119,119,1.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,26.0,0.0
120,120,10.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,26.0,0.0
121,121,4.0,2.0,7.0,1.0,0.0,0.0,0.0,13.0,27.0,0.0
122,122,9.0,2.0,7.0,1.0,0.0,0.0,0.0,13.0,27.0,0.0
123,123,8.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,26.0,0.0
124,124,10.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,26.0,0.0
125,125,1.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,26.0,0.0
126,126,10.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,26.0,0.0
127,127,4.0,2.0,7.0,1.0,0.0,0.0,0.0,12.0,27.0,0.0
